instituTionId,inStituTionName,contactor,telephone,email,address,postCode,memo,openDate,optId,predix,IsMac,OPTIDCount,Status,StkTypeList,IsAuto,ProdAcctTypeList,isSupportALGO,isSupportInterALGO,isDSAOrderFlag,isWorkOrderFlag
0,风控机构,,,,,,风控使用机构,20220928145402.0,99990,init,N,9999,0,,N,0^1^2^3,Y,Y,N,N
0001,测试机构,,,,,,1,20220930112235.0,99990,gscf,N,9999,0,,N,0^1^2^3,Y,Y,N,N
002,002开户流程验证,,,,,,,20220923091600.0,99990,A002,N,9999,0,,N,0^1^2^3,N,N,N,N
009,009,,,,,,,20221012193246.0,99990,oppp,N,9999,0,,N,0^1^2^3,N,N,N,N
010,010开户流程验证,,,,,,,20220922182249.0,99990,A010,N,9999,0,,N,0^1^2^3,N,N,N,N
012,012开户流程验证,,,,,,,20220905165419.0,99990,A012,N,9999,0,,N,0^1^2^3,N,N,N,N
016,016开户流程验证,,,,,,,20220907181309.0,99990,A016,N,9999,0,,N,0^1^2^3,N,N,N,N
018,018开户流程验证,,,,,,,20220908103628.0,99990,A018,N,9999,0,,N,0^1^2^3,N,N,N,N
02,02自动,,,,,,,20220907112455.0,99990,RL02,N,9999,0,,N,0^1^2^3,N,N,N,N
020,020开户流程验证,,,,,,,20220907155820.0,99990,A020,N,9999,0,,N,0^1^2^3,N,N,N,N
021,021开户流程验证,,,,,,,20220923111600.0,99990,A021,N,9999,0,,N,0^1^2^3,N,N,N,N
022,022开户流程验证,,,,,,,20220907132100.0,99990,A022,N,9999,0,,N,0^1^2^3,N,N,N,N
024,024开户流程验证,,,,,,,20220907144649.0,99990,A024,N,9999,0,,N,0^1^2^3,N,N,N,N
027,027开户流程验证,,,,,,,20220907160030.0,99990,A027,N,9999,0,,N,0^1^2^3,N,N,N,N
029,029开户流程验证,,,,,,,20220926095200.0,99990,A029,N,9999,0,,N,0^1^2^3,N,N,N,N
03,03自动,,,,,,,20220908104028.0,99990,RL03,N,9999,0,,N,0^1^2^3,N,N,N,N
033,033开户流程验证,,,,,,,20220922163000.0,99990,A033,N,9999,0,,N,0^1^2^3,N,N,N,N
034,034自动,,,,,,,20221011075300.0,99990,z034,N,9999,0,,N,0^1^2^3,N,N,N,N
035,035开户流程验证,,,,,,,20220921154000.0,99990,A035,N,9999,0,,N,0^1^2^3,N,N,N,N
038,038自动,,,,,,,20220927075300.0,99990,z038,N,9999,0,,N,0^1^2^3,N,N,N,N
039,039自动,,,,,,,20220922075300.0,99990,z039,N,9999,0,,N,0^1^2^3,N,N,N,N
04,04机构全称,,,,,,,20220919132824.0,99990,zff04,N,9999,0,,N,0^1^2^3,N,N,N,N
040,040开户流程验证,,,,,,,20221013141503.0,99990,A040,N,9999,0,,N,0^1^2^3,N,N,N,N
043,043开户流程验证,,,,,,,20220922092900.0,99990,A043,N,9999,0,,N,0^1^2^3,N,N,N,N
046,046开户流程验证,,,,,,,20220921092323.0,99990,A046,N,9999,0,,N,0^1^2^3,N,N,N,N
048,048开户流程验证,,,,,,,20220920113330.0,99990,A048,N,9999,0,,N,0^1^2^3,N,N,N,N
050,050开户流程验证,,,,,,,20220907114310.0,99990,A050,N,9999,0,,N,0^1^2^3,N,N,N,N
