productNum,productAcctNum,PortfolioNum,PortfolioName,PortfolioStatus,PortfolioType,exchIdList,stkTypeList,orderTypeList,openDate,optId,Flag,offerPortfolioNum,investType,portfolioExteriorId,memo,F_hedgeFlagList,ParaValue
2,2,3,FUTU,0,2,0^1^2^3^4^5^6^7^8^B^D^F^G^H^M^N^Q^S^T^U^V^W^X^Y^Z,A0^A1^A2^A3^A4^A5^A6^C0^C1^D1^D2^D5^D7^E1^E3^F1^U1^U2,,20220127000000,99990,1,0,0,,,SPEC,
3,3,4,Stock,0,0,0^1^D^F^N^S^Z,A0^A1^A2^A3^A4^A5^A6^C0^C1^D1^D2^D5^D7^E1^E3^F1^U1^U2,,20220127000000,99990,1,0,,,,SPEC,
5,5,6,HSHS,0,0,0^1^D^F^N^S^Z,A0^A1^A2^A3^A4^A5^A6^C0^C1^D1^D2^D5^D7^E1^E3^F1^U1^U2,,20220128000000,99990,1,0,,,,SPEC,
6,6,7,现货资产单元,0,2,0^1^2^3^4^5^6^7^8^D^F^G^H^N^Q^S^T^U^V^X^Y^Z,A0^A1^A2^A3^A4^A5^A6^C0^C1^D1^D2^D5^D7^E1^E3^F1^U1^U2,,20220210000000,99990,1,0,,,,SPEC,
7,7,8,QQZQ现货,0,0,0^1^2^3^4^5^6^7^8^D^F^G^H^N^Q^S^T^U^V^X^Y^Z,A0^A1^A2^A3^A4^A5^A6^C0^C1^D1^D2^D5^D7^E1^E3^F1^U1^U2,,20220210000000,99990,1,0,,,,SPEC,
8,8,9,000000002078,0,0,0^1^2^3^4^5^6^7^8^D^F^H^N^S^X^Y^Z,A0^A1^A2^A3^A4^A5^A6^C0^C1^D1^D2^D5^D7^E1^E3^F1^U1^U2,,20220210000000,99990,1,0,0,,,SPEC,
9,9,10,000000002079,0,0,F,A0^A1^A2^A3^A4^A5^A6^C0^C1^D1^D2^D5^D7^E1^E3^F1^U1^U2,,20220210000000,99990,1,0,0,,,SPEC,
10,10,11,现货1资产单元,0,0,0^1^D^F^N^S^Z,A0^A1^A2^A3^A4^A5^A6^C0^C1^D1^D2^D5^D7^E1^E3^F1^U1^U2,,20220211000000,99990,1,0,,,,SPEC,
11,12,13,只有上海,0,0,0,A0^A1^A2^A3^A4^A5^A6^C0^C1^D1^D2^D5^D7^E1^E3^F1^U1^U2,,20220211000000,99990,1,0,0,,,SPEC,
11,13,14,只有深圳,0,0,1,A0^A1^A2^A3^A4^A5^A6^C0^C1^D1^D2^D5^D7^E1^E3^F1^U1^U2,,20220211000000,99990,1,0,0,,,SPEC,
