productNum,productId,productName,productFullName,institutionID,productQuota,NAV,productType,openDate,endDate,currencyIdList,IPOCurrencyIdList,exchIdList,productStatus,ReckoningFlag,memo,inputTime,optId,repoInterFlag,setupBegintime,setupEndTime,closeBeginTime,closeEndTime,TradeOrderFlag,MessageOptIdList,isAuto,TradeInstituTionId,PermitFlag,OddAmt,FileOrderFlag,CurrentAsset,APIServiceFlag,instructNoOrderFlag,IOPV,Otherpayables,assetInvestType,reckoningCheckFlag,investType,TAType,investArea,fundWorkType,fundID,groupValuation,acctCheckList,stkCheckList,usableCheckMode,stkValuationMode,NAVCalPrecision,settleNo,CFETSId,defaultProductAcct,defaultPortfolio
2,12345,FUTU001简称,FUTU001,FUT,1000.0,0.0,1,20220907000000,-1,RMB,RMB,,2,0,1,20220929153844,99990,0,-1,-1,-1,-1,0,,1,FUT,0,0.0,1,0.0,N,0,0.0,0.0,,0,1,98,0,1,,1,ALL,ALL,0,0,4,,,-1,-1
3,,恒生I2,恒生I2,HSCS,1000000000.0,0.0,1,-1,-1,RMB,RMB,,2,0,,20220930135318,99990,0,-1,-1,-1,-1,0,,1,HSCS,0,0.0,1,0.0,N,0,0.0,0.0,,0,1,98,0,1,,1,ALL,ALL,0,0,4,,,-1,-1
4,,对账测试RT,对账测试RT,DZCS,999999999999.99,0.0,2,-1,-1,RMB,RMB,,2,2,,20220128181212,99990,0,-1,-1,-1,-1,0,,N,DZCS,N,0.0,1,0.0,N,N,0.0,0.0,,1,1,98,0,1,,1,ALL,ALL,0,0,4,,,0,-1
5,,HSHS,HSHS,HSCS,10000.0,0.0,1,-1,-1,RMB,RMB,,2,2,,20220128184355,99990,0,-1,-1,-1,-1,0,,N,HSCS,N,0.0,1,0.0,N,N,0.0,0.0,,1,1,98,0,1,,1,ALL,ALL,0,0,4,,,0,-1
6,,现货产品,现货产品,KFCS,10000.0,0.0,1,-1,-1,RMB,RMB,,2,2,,20220210131458,99990,0,-1,-1,-1,-1,0,,N,KFCS,N,0.0,1,0.0,N,N,0.0,0.0,,1,1,01,0,1,,1,ALL,ALL,0,0,4,,,0,-1
7,,QQZQ,QQZQ,QQZQ,10000000.0,0.0,1,-1,-1,RMB,RMB,,2,0,,20220902162032,99990,0,-1,-1,-1,-1,0,,1,QQZQ,0,0.0,1,0.0,N,0,0.0,0.0,,0,1,98,0,1,,1,ALL,ALL,0,0,4,,,-1,-1
8,,KS测试,KS测试,POC_JG,9999999.0,0.0,1,-1,-1,RMB,RMB,,2,2,,20220210155904,99990,0,-1,-1,-1,-1,0,,N,POC_JG,N,0.0,1,0.0,N,N,0.0,0.0,,1,1,98,0,1,,1,ALL,ALL,0,0,4,,,0,-1
9,,KS测试期货,KS测试期货,POC_JG,999999.0,0.0,1,-1,-1,RMB,RMB,,2,2,,20220210165900,99990,0,-1,-1,-1,-1,0,,N,POC_JG,N,0.0,1,0.0,N,N,0.0,0.0,,1,1,98,0,1,,1,ALL,ALL,0,0,4,,,0,-1
10,,现货产品1,现货产品1,KFCS,10000.0,0.0,1,-1,-1,RMB,RMB,,2,2,,20220211111303,99990,0,-1,-1,-1,-1,0,,N,KFCS,N,0.0,1,0.0,N,N,0.0,0.0,,1,1,01,0,1,,1,ALL,ALL,0,0,4,,,0,-1
11,DZCS,DZCS,DZCS,OTCD,100000000.0,0.0,1,-1,-1,RMB,RMB,,2,2,,20220211180524,99990,0,-1,-1,-1,-1,0,,N,OTCD,N,0.0,1,0.0,N,N,0.0,0.0,,1,1,98,0,1,,1,ALL,ALL,0,0,4,,,0,-1
