globalConst,interiorId,constDisplayName,memo,sortSerial
accruedBaseType,1,资产净值,,0
AccruedFeeType,GLF,管理费,,0
AccruedFeeType,TGF,托管费,,1
AccruedFeeType,TZGWF,投顾费,,3
AccruedFeeType,WBF,外包费,,2
AccruedFeeType,XSFWF,销售服务费,,4
AccruedFeeType,YJBC,业绩报酬,,5
AccruedMode,1,日{{Day}},,0
AccruedMode,2,月{{Month}},,1
AccruedMode,3,季{{Quarter}},,2
AccruedMode,4,半年{{Half Year}},,3
AccruedMode,5,年{{Year}},,4
AcctGroupOrderStrategy,0,固定数量,多产品双向策略,0
AcctGroupOrderStrategy,1,固定金额,多产品双向策略,1
AcctGroupOrderStrategy,2,单元可用比,多产品买策略,2
AcctGroupOrderStrategy,3,可用数量比,多产品卖策略,3
AcctGroupOrderStrategy,4,持仓数量比,多产品卖策略,4
AcctGroupOrderStrategy,5,产品净资产比,多产品双向策略,5
AcctGroupStatus,0,正常{{Normal}},,0
AcctGroupStatus,3,锁定{{Locked}},,3
AcctIDType,J,交易账户,,1
AcctIDType,T,托管账户{{Custody Account}},,0
AcctIDType,X,现货交易账户{{Spot Trading Account}},,2
acctPermitList,0,禁止存款,account,0
acctPermitList,1,禁止取款,account,1
acctPermitList,2,禁止买入,account,2
acctPermitList,3,禁止卖出,account,3
acctPermitList,4,禁止转托管,account,4
acctPermitList,5,禁止撤消指定,account,5
acctPermitList,6,禁止银证转帐转出,account,6
acctPermitList,7,禁止银证转帐转入,account,7
acctPermitList,8,禁止买入(场外交易产品),account,8
acctPermitList,9,禁止卖出(场外交易产品),account,9
acctPermitList,A,禁止转托管(场外交易产品),account,10
acctPermitList,B,禁止开放式基金账户类业务,account,11
acctPermitList,C,禁止开放式基金交易类业务,account,12
acctPermitList,D,允许外汇资金充抵保证金,account,13
action,0,增加,复核操作,0
action,1,注销,复核操作,1
action,10,调整资金可用,资金复核操作,10
action,11,调整资金余额,资金复核操作,11
action,12,调整资金余额与可用,资金复核操作,12
action,13,划转资金,资金复核操作,13
action,14,资金异常冻结,资金复核操作,14
action,15,资金异常解冻,资金复核操作,15
action,16,资金期限冻结,资金复核操作,16
action,17,资金取消期限冻结,资金复核操作,17
action,2,修改,复核操作,2
action,20,调整股份可用,股份复核操作,20
action,21,调整股份余额,股份复核操作,21
action,22,调整股份余额与可用,股份复核操作,22
action,23,调整昨持仓,股份复核操作,23
action,24,调整今持仓,股份复核操作,24
action,25,调整约券持仓,T0股份复核操作,25
action,3,注销恢复,复核操作,3
action,30,划转流通股,股份复核操作,30
action,31,划转非流通股,股份复核操作,31
