holidayId,holidayName,holidayYear,holidayMonth,holidayFlag1,holidayFlag2,holidayFlag3,holidayFlag4,holidayFlag5,holidayFlag6,holidayFlag7,holidayFlag8,holidayFlag9,holidayFlag10,holidayFlag11,holidayFlag12,holidayFlag13,holidayFlag14,holidayFlag15,holidayFlag16,holidayFlag17,holidayFlag18,holidayFlag19,holidayFlag20,holidayFlag21,holidayFlag22,holidayFlag23,holidayFlag24,holidayFlag25,holidayFlag26,holidayFlag27,holidayFlag28,holidayFlag29,holidayFlag30,holidayFlag31
00,系统交易日,2021,2,1,1,1,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1,1,0,0,,,
00,系统交易日,2021,3,1,1,1,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1,1,0,0,1,1,1
00,系统交易日,2021,4,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1,1,
00,系统交易日,2021,5,0,0,1,1,1,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1,1,0,0,1
00,系统交易日,2021,6,1,1,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1,1,0,0,1,1,1,
00,系统交易日,2021,7,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1,1,0
00,系统交易日,2021,8,0,1,1,1,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1,1,0,0,1,1
00,系统交易日,2021,9,1,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1,
00,系统交易日,2021,10,1,0,0,1,1,1,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1,1,0,0
00,系统交易日,2021,11,1,1,1,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1,1,0,0,1,1,
00,系统交易日,2021,12,1,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1,1
00,系统交易日,2022,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1
00,系统交易日,2022,2,1,1,1,1,2,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,0,0,1,0,0,0
00,系统交易日,2022,3,1,1,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1,1,0,0,1,1,2,1
00,系统交易日,2022,4,1,0,0,0,0,1,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0
