exchId,regId,offerRegId,regName,currencyId,regType,deskId,F_hedgeFlagList,regStatus,exchProperty,memo,openDate,optId,acctid,thirdSystemId,fixFlag,regPermitList,grantStkTypeList,custodianInstitution
0,0TESTPT1,0TESTPT1,0TESTPT1,RMB,0,15810,SPEC,0,0,,20220422000000,99990,TESTPT1,2101,0.0,,A0^A1^A2^A3^A4^A5^A6^C0^C1^D1^D2^D5^D7^E1^E3^F1^U1^U2,
1,1TESTPT1,1TESTPT1,1TESTPT1,RMB,0,15810,SPEC,0,0,,20220422000000,99990,TESTPT1,2101,2.0,,A0^A1^A2^A3^A4^A5^A6^C0^C1^D1^D2^D5^D7^E1^E3^F1^U1^U2,
0,0000034567,0000034567,风控B股东上海,RMB,0,,SPEC,0,0,,20220427000000,99990,000000034567,22,0.0,,A0^A1^A2^A3^A4^A5^A6^C0^C1^D1^D2^D5^D7^E1^E3^F1^U1^U2,
1,1000034567,1000034567,风控B股东深圳,RMB,0,,SPEC,0,0,,20220427000000,99990,000000034567,22,2.0,,A0^A1^A2^A3^A4^A5^A6^C0^C1^D1^D2^D5^D7^E1^E3^F1^U1^U2,
0,0A00220419,0A00220419,TOB,RMB,0,,SPEC,0,0,,20220419000000,99990,000000220419,22,0.0,,A0^A1^A2^A3^A4^A5^A6^C0^C1^D1^D2^D5^D7^E1^E3^F1^U1^U2,
1,0B00220418,0B00220418,TOB,RMB,0,,SPEC,0,0,,20220419000000,99990,000000220419,22,2.0,,A0^A1^A2^A3^A4^A5^A6^C0^C1^D1^D2^D5^D7^E1^E3^F1^U1^U2,
0,0A00220718,0A00220718,B账户,RMB,0,,SPEC,0,0,,20220718000000,99990,000000220718,22,0.0,,A0^A1^A2^A3^A4^A5^A6^C0^C1^D1^D2^D5^D7^E1^E3^F1^U1^U2,
1,0B00220718,0B00220718,B账户,RMB,0,,SPEC,0,0,,20220718000000,99990,000000220718,22,2.0,,A0^A1^A2^A3^A4^A5^A6^C0^C1^D1^D2^D5^D7^E1^E3^F1^U1^U2,
0,0A00220719,0A00220719,C账户,RMB,0,,SPEC,0,0,,20220718000000,99990,000000220719,22,0.0,,A0^A1^A2^A3^A4^A5^A6^C0^C1^D1^D2^D5^D7^E1^E3^F1^U1^U2,
1,0B00220719,0B00220719,C账户,RMB,0,,SPEC,0,0,,20220718000000,99990,000000220719,22,2.0,,A0^A1^A2^A3^A4^A5^A6^C0^C1^D1^D2^D5^D7^E1^E3^F1^U1^U2,
0,0A20220728,0A20220728,Bzhanghu,RMB,0,,SPEC,0,0,,20220728000000,99990,000000220728,22,0.0,,A0^A1^A2^A3^A4^A5^A6^C0^C1^D1^D2^D5^D7^E1^E3^F1^U1^U2,
1,0B20220728,0B20220728,Bzhanghu,RMB,0,,SPEC,0,0,,20220728000000,99990,000000220728,22,2.0,,A0^A1^A2^A3^A4^A5^A6^C0^C1^D1^D2^D5^D7^E1^E3^F1^U1^U2,
0,0A00220730,0A00220730,TOOD,RMB,0,,SPEC,0,0,,20220729000000,99990,000000220730,22,0.0,,A0^A1^A2^A3^A4^A5^A6^C0^C1^D1^D2^D5^D7^E1^E3^F1^U1^U2,
1,0B00220730,0B00220730,TOOD,RMB,0,,SPEC,0,0,,20220729000000,99990,000000220730,22,2.0,,A0^A1^A2^A3^A4^A5^A6^C0^C1^D1^D2^D5^D7^E1^E3^F1^U1^U2,
0,0B000001,0B000001,B沪,RMB,0,,SPEC,0,0,,20220718000000,99990,000000890112,22,0.0,,A0^A1^A2^A3^A4^A5^A6^C0^C1^D1^D2^D5^D7^E1^E3^F1^U1^U2,
1,0B000002,0B000002,B深,RMB,0,,SPEC,0,0,,20220718000000,99990,000000890112,22,2.0,,A0^A1^A2^A3^A4^A5^A6^C0^C1^D1^D2^D5^D7^E1^E3^F1^U1^U2,
0,0C000001,0C000001,C沪,RMB,0,,SPEC,0,0,,20220718000000,99990,000000890113,22,0.0,,A0^A1^A2^A3^A4^A5^A6^C0^C1^D1^D2^D5^D7^E1^E3^F1^U1^U2,
1,0C000002,0C000002,C深,RMB,0,,SPEC,0,0,,20220718000000,99990,000000890113,22,2.0,,A0^A1^A2^A3^A4^A5^A6^C0^C1^D1^D2^D5^D7^E1^E3^F1^U1^U2,
0,0A20220228,0A20220228,0A20220228,RMB,0,,SPEC,0,0,,20220419000000,99990,000020220228,22,0.0,,A0^A1^A2^A3^A4^A5^A6^C0^C1^D1^D2^D5^D7^E1^E3^F1^U1^U2,
1,1A20220228,1A20220228,1A20220228,RMB,0,,SPEC,0,0,,20220419000000,99990,000020220228,22,2.0,,A0^A1^A2^A3^A4^A5^A6^C0^C1^D1^D2^D5^D7^E1^E3^F1^U1^U2,
0,0A20220229,0A20220229,0A20220229,RMB,0,,SPEC,0,0,,20220419000000,99990,000020220229,22,0.0,,A0^A1^A2^A3^A4^A5^A6^C0^C1^D1^D2^D5^D7^E1^E3^F1^U1^U2,
1,1A20220229,1A20220229,1A20220229,RMB,0,,SPEC,0,0,,20220419000000,99990,000020220229,22,2.0,,A0^A1^A2^A3^A4^A5^A6^C0^C1^D1^D2^D5^D7^E1^E3^F1^U1^U2,
0,0A20220230,0A20220230,0A20220230,RMB,0,,SPEC,0,0,,20220420000000,99990,000020220230,22,0.0,,A0^A1^A2^A3^A4^A5^A6^C0^C1^D1^D2^D5^D7^E1^E3^F1^U1^U2,
1,1A20220230,1A20220230,1A20220230,RMB,0,,SPEC,0,0,,20220420000000,99990,000020220230,22,2.0,,A0^A1^A2^A3^A4^A5^A6^C0^C1^D1^D2^D5^D7^E1^E3^F1^U1^U2,
0,0A20220517,0A20220517,0A20220517,RMB,0,,SPEC,0,0,,20220524000000,99990,000020220517,22,0.0,,A0^A1^A2^A3^A4^A5^A6^C0^C1^D1^D2^D5^D7^E1^E3^F1^U1^U2,
1,1A20220517,1A20220517,1A20220517,RMB,0,,SPEC,0,0,,20220524000000,99990,000020220517,22,2.0,,A0^A1^A2^A3^A4^A5^A6^C0^C1^D1^D2^D5^D7^E1^E3^F1^U1^U2,
F,F20220518,F20220518,F20220518,RMB,0,,SPEC,0,1,,20220524000000,99990,000020220518,22,0.0,,A0^A1^A2^A3^A4^A5^A6^C0^C1^D1^D2^D5^D7^E1^E3^F1^U1^U2,
0,0A20220521,0A20220521,0A20220521,RMB,0,,SPEC,0,0,,20220524000000,99990,000020220521,22,0.0,,A0^A1^A2^A3^A4^A5^A6^C0^C1^D1^D2^D5^D7^E1^E3^F1^U1^U2,
1,1A20220521,1A20220521,1A20220521,RMB,0,,SPEC,0,0,,20220524000000,99990,000020220521,22,2.0,,A0^A1^A2^A3^A4^A5^A6^C0^C1^D1^D2^D5^D7^E1^E3^F1^U1^U2,
F,F20220522,F20220522,F20220522,RMB,0,,SPEC,0,1,,20220524000000,99990,000020220522,22,0.0,,A0^A1^A2^A3^A4^A5^A6^C0^C1^D1^D2^D5^D7^E1^E3^F1^U1^U2,
0,0A20220523,0A20220523,0A20220523,RMB,0,,SPEC,0,0,,20220524000000,99990,000020220523,22,0.0,,A0^A1^A2^A3^A4^A5^A6^C0^C1^D1^D2^D5^D7^E1^E3^F1^U1^U2,
1,1A20220523,1A20220523,1A20220523,RMB,0,,SPEC,0,0,,20220524000000,99990,000020220523,22,2.0,,A0^A1^A2^A3^A4^A5^A6^C0^C1^D1^D2^D5^D7^E1^E3^F1^U1^U2,
F,F20220524,F20220524,F20220524,RMB,0,,SPEC,0,1,,20220524000000,99990,000020220524,22,0.0,,A0^A1^A2^A3^A4^A5^A6^C0^C1^D1^D2^D5^D7^E1^E3^F1^U1^U2,
0,0A20220527,0A20220527,0A20220527,RMB,0,,SPEC,0,0,,20220524000000,99990,000020220527,22,0.0,,A0^A1^A2^A3^A4^A5^A6^C0^C1^D1^D2^D5^D7^E1^E3^F1^U1^U2,
1,1A20220527,1A20220527,1A20220527,RMB,0,,SPEC,0,0,,20220524000000,99990,000020220527,22,2.0,,A0^A1^A2^A3^A4^A5^A6^C0^C1^D1^D2^D5^D7^E1^E3^F1^U1^U2,
F,F20220528,F20220528,F20220528,RMB,0,,SPEC,0,1,,20220524000000,99990,000020220528,22,0.0,,A0^A1^A2^A3^A4^A5^A6^C0^C1^D1^D2^D5^D7^E1^E3^F1^U1^U2,
0,0A20220531,0A20220531,0A20220531,RMB,0,,SPEC,0,0,,20220524000000,99990,000020220531,22,0.0,,A0^A1^A2^A3^A4^A5^A6^C0^C1^D1^D2^D5^D7^E1^E3^F1^U1^U2,
1,1A20220531,1A20220531,1A20220531,RMB,0,,SPEC,0,0,,20220524000000,99990,000020220531,22,2.0,,A0^A1^A2^A3^A4^A5^A6^C0^C1^D1^D2^D5^D7^E1^E3^F1^U1^U2,
0,0A20220532,0A20220532,0A20220532,RMB,0,,SPEC,0,0,,20220524000000,99990,000020220532,22,0.0,,A0^A1^A2^A3^A4^A5^A6^C0^C1^D1^D2^D5^D7^E1^E3^F1^U1^U2,
