formulaId,riskControlType,riskControlFunc,FormulaDesc,FormulaDefine,FactorDefine,unit,ruleMemo,sortSerial
1,RM_StkQty,RM_PositionQty,持仓数量,A,A:StkPosition2,万股,对证券持仓数量进行控制,1
3,RM_StkQty,RM_PositionQty_StkTotalShares,持仓数量/该证券总股本,A/B,A:StkPosition2^B:TotalStkQty2,%,证券持仓数量在该证券总股本的占比的控制。,2
61,RM_TradeValue,RM_StkOrderValue,交易额,A,A:TradeAmt2,万元,对交易额度进行控制,1
68,RM_TradeValue,RM_StkOrderValue_TotalStkMktTurnover,交易额/该证券市场总成交额,A/B,A:TradeAmt2^B:TotalMktAmt2,%,对交易额度与该证券市场总成交额占比进行控制,2
71,RM_TradeQty,RM_StkOrderQty,交易量,A,A:TradeQty2,万股,对交易量的控制。,1
73,RM_TradeQty,RM_StkOrderQty_AvgQty,交易量/20日平均交易量,A/B,A:TradeQty2^B:TotalAvgQty2,%,对证券交易量与该证券过去20日平均交易量的控制。,3
74,RM_TradeQty,RM_StkOrderQty_TotalMktQty,交易量/当日市场成交量,A/B,A:TradeQty2^B:TotalMktQty2,%,对证券交易量在当日市场成交量的控制。,2
91,RM_Business,RM_Business_Forbid,不允许买卖,A,A:RiskTaskBusinessForbid2,-,对证券的买入卖出进行限制,1
104,RM_StkReverse,RM_SelfKnock_TradeCtrl,防对敲(仅未成交),A,A:RiskTaskStkReverseNew,-,指定时间内，对未成交完成的委托进行防对敲检查。,1
141,RM_FTMarginAmt,RM_FTMarginAmt_FTMarginAmt,期货保证金占用,A,A:FutureMarginAmt,万元,对期货保证金占用的控制,1
142,RM_FTMarginAmt,RM_FTMarginAmt_TotalAssetAmt,期货保证金占用/总权益,A/B,A:FutureMarginAmt^B:FutureAsset2,%,保证金在总权益的占比控制,2
181,RM_ActionQryLimit,RM_Action_Deemed,撤单次数,A,A:RevokeCountLimit,次, 期货委托撤单次数的限制,1
182,RM_ActionQryLimit,RM_Action_Deemed_rate,撤单次数/委托次数,A/B,A:RevokeCountLimit^B:OrderCountLimit,%,撤单次数在委托次数中的占比限制,2
183,RM_ActionQryLimit,RM_Knock_Order_Rate,成交量/委托量,A/B,A:KnockTotalStkQty^B:OpenOrderTotalStkQty,%,当日成交量与委托量占比限制,3
191,RM_TradingCapitalScale,RM_TodayTradingCapitalScale,当日交易资金规模,A,A:TodayTradingCapitalScale,元,控制单个资产单元当日交易使用资金不能超过期初资金规模，主要应用在一个资产单元同时进行现货及期货交易场景。,1
401,RM_Repo_Financing,RM_BondPledge,债券入库量/该债券全市场流通量,A/B,A:BondPledge2^B:TotalMarketCirculation2,%,债券入库量/该债券全市场流通量,1
403,RM_Repo_Financing,RM_Repo_TotalProprietaryBond,回购未到期金额/债券总托管量,A/B,A:RepurchaseNotDue2^B:TotalProprietaryBond2,%,回购未到期金额/债券总托管量的控制。,2
501,RM_AcctFunds,RM_AccountFunds,单账号资金,A,A:AccountFunds,万元,账户资金可用金额控制。,1
502,RM_AcctFunds,RM_FundMarket,基金做市账号资金,A,A:FundMarket,万元,账户资金可用金额控制。,2
811,RM_TradePrice,RM_TradePrice_ContrastRate,(|执行价格-参考价格|)/参考价格,Math.abs(A-B)/C,A:TradeOrderPrice2^B:TradePrice2^C:TradePrice2,%,控制委托价格与选中类型的参考价格的偏离度,1
815,RM_TradePrice,RM_TradePrice_NewPrice,(|最新价-参考价格|)/参考价格,Math.abs(A-B)/C,A:TradeOrderNewPrice^B:TradePrice2^C:TradePrice2,%,控制最新价与选中类型的参考价格的偏离度,2
