riskParaNum,riskParaName,riskControlMode,riskControlFunc,legerLevel,RiskSumFlag,startRiskFlag,supportMonitorFlag,supportTradeControlFlag,supportTriggeredFlag,logicalRelationFlag,staticControlFlag,formulaFlag,mutexFlag,instructLimitFlag,instructLimitLogFlag,orderLimitFlag,orderLimitLogFlag,messageAllOptFlag,messageOptIdList,messagePosIdList,beginDate,endDate,beginTime,endTime,memo,optId,occurTime,sendFlag,Email,email_cclist,runType,offerInterval,configValue,lastRunTime,nextRunTime,tradeType,productStatusList,Priority,riskStkGroupCrtl,formulaId,Version,auditOptId
0,antest1,1,RM_Knock_Order_Rate,1,1,0,0,0,0,OR,0,1,0,0,0,0,0,0,,,20220720,20991231,0,0,,99990,20220812152126,0,,,,0,,0,0,,,1,stkType,183,2,
1,王建国测试,1,RM_PositionQty,1,0,0,0,0,0,OR,0,1,0,0,0,0,0,0,,,20220210,20991231,0,0,,99990,20220905114746,0,,,,0,,0,0,,,1,Ftproduct,1,2,
2,G1,1,RM_StkOrderQty,1,0,0,0,0,0,OR,0,1,0,0,0,0,0,0,,,20220211,20991231,0,0,,99990,20220722173532,0,,,,0,,0,0,,,1,stkType,71,2,
3,F1,1,RM_StkOrderValue,1,1,1,0,0,0,OR,0,1,0,0,0,0,0,0,,,20220211,20991231,0,0,,99990,20221009171056,0,,,,0,,0,0,,,1,stkType,61,2,
4,f8,1,RM_StkOrderValue_TotalStkMktTurnover,1,0,0,0,0,0,OR,0,1,0,0,0,0,0,0,,,20220214,20991231,0,0,,99990,20220214140451,0,,,,0,,0,0,,,1,stkType,68,2,
5,lisxtest,1,RM_TodayTradingCapitalScale,1,0,0,0,0,0,OR,0,1,0,0,0,0,0,0,,,20220422,20991231,0,0,,99990,20220428211659,0,,,,0,,0,0,,,1,stkType,191,2,
6,zgb,1,RM_TodayTradingCapitalScale,1,0,0,0,0,0,OR,0,1,0,0,0,0,0,0,,,20220424,20991231,0,0,,99990,20220524145706,0,,,,0,,0,0,,,1,stockId,191,2,
7,压测回放-单账号资金控制,1,RM_AccountFunds,1,0,0,0,0,0,OR,0,1,0,0,0,0,0,0,,,20220424,20991231,0,0,,99990,20220427164402,0,,,,0,,0,0,,,1,stkType,501,2,
8,lisxtest,1,RM_TodayTradingCapitalScale,1,0,0,0,0,0,OR,0,1,0,0,0,0,0,0,,,20220525,20991231,0,0,,99990,20220425102350,0,,,,0,,0,0,,,1,stkType,191,2,
9,LIX,1,RM_TodayTradingCapitalScale,1,0,0,0,0,0,OR,0,1,0,0,0,0,0,0,,,20220425,20991231,0,0,,99990,20220425102559,0,,,,0,,0,0,,,1,stkType,191,2,
10,压测回放-持仓数量控制,1,RM_PositionQty,1,0,0,0,0,0,OR,0,1,0,0,0,0,0,0,,,20220426,20991231,0,0,,99990,20220523121650,0,,,,0,,0,0,,,1,stkType,1,2,
