riskParaNum,conditionSerial,conditionValue,monitorLevel,triggeredLevel,beTriggeredFlag,paraValue1,paraValue2,paraValue3,paraValue4,paraValue5,paraValue6,paraValue7,paraValue8,paraValue9,paraValue10
0,1,,0,,,result>0,,,,,,,,,0
1,1,,0,,,result!=0,,,,,,,,,0
2,1,,0,,,result>0.02,,,,,,,,,0
3,1,,1,,,result>0,,,,,,,,,0
4,1,,0,,,result>0,,,,,,,,,0
7,1,,0,,,result>1,,,,,,,,,0
10,1,,0,,,result>100,,,,,,,,,0
11,1,,0,,,result>20,,,,,,,,,0
14,1,,0,,,result>0.01,,,,,,,,,0
15,1,,1,,,result<3,,,,,,,,,0
15,1,,2,,,3<=result && result<2,,,,,,,,,1
16,1,,0,,,result>0,,,,,,,,,0
17,1,,1,,,result<0.5,,,,,,,,,0
18,1,,0,,,result>0.2,,,,,,,,,0
19,1,,0,,,result>0.5,,,,,,,,,0
20,1,,0,,,result>0.7,,,,,,,,,0
21,1,,0,,,result>0.01,,,,,,,,,0
22,1,,0,,,result>100,,,,,,,,,0
23,1,,0,,,result>10,,,,,,,,,0
25,1,,0,,,result>100000,,,,,,,,,0
26,1,,0,,,result>6,,,,,,,,,0
26,1,,1,,,3>=result && result>1,,,,,,,,,2
26,1,,2,,,6>=result && result>3,,,,,,,,,1
27,1,,0,,,result!=20,,,,,,,,,0
29,1,,0,,,result<2,,,,,,,,,0
30,1,,0,,,result<2,,,,,,,,,0
31,1,,0,,,result>0,,,,,,,,,0
32,1,,0,,,result>0,,,,,,,,,0
33,1,,0,,,result>0.0001,,,,,,,,,0
34,1,,0,,,result<10,,,,,,,,,0
35,1,,0,,,result>0.1,,,,,,,,,0
36,1,,0,,,result>0.02,,,,,,,,,0
39,1,,0,,,result>0,,,,,,,,,0
40,1,,0,,,result>0,,,,,,,,,0
41,1,,0,,,result>0.1,,,,,,,,,0
42,1,,0,,,result>0.5,,,,,,,,,0
43,1,,0,,,result>0,,,,,,,,,0
44,1,,0,,,result>0.01,,,,,,,,,0
45,1,,0,,,result>2,,,,,,,,,0
46,1,,0,,,result>0.01,,,,,,,,,0
47,1,,0,,,result>0,,,,,,,,,0
48,1,,0,,,result>0.01,,,,,,,,,0
50,1,,0,,,result>0,,,,,,,,,0
51,1,,0,,,result>0,,,,,,,,,0
52,1,,0,,,result>0,,,,,,,,,0
53,1,,0,,,result>1,,,,,,,,,0
54,1,,0,,,result>0,,,,,,,,,0
