riskParaNum,riskParaDict,unParaFlag,paraValue,exemptFlag,DataDesc,paraValue2
0,CompareType,,>,,,
0,endWorkTime,,150000,,,
0,ExchIdList,,-1,,,
0,InstituTionId,,0001,,,
0,ProductId,,140,,,
0,ProductId,,141,,,
0,RiskHKstkctl,,3,,,
0,riskPositionFlag,,1,,,
0,riskProductCtrl,,1,,,
0,riskStkGroupCrtl,Y,A0,0,股票,
0,totalFlag,,0,,,
1,CompareType,,=,,,
1,ExchIdList,,-1,,,
1,InstituTionId,,100,,,
1,InstituTionId,,888,,,
1,InstituTionId,,999,,,
1,InstituTionId,,apexCdt,,,
1,InstituTionId,,A机构,,,
1,InstituTionId,,BYCS,,,
1,InstituTionId,,B机构,,,
1,InstituTionId,,DEMO,,,
1,InstituTionId,,DSSC,,,
1,InstituTionId,,DSST,,,
1,InstituTionId,,DZCS,,,
1,InstituTionId,,FUT,,,
1,InstituTionId,,haha,,,
1,InstituTionId,,HSCS,,,
1,InstituTionId,,IN_1,,,
1,InstituTionId,,JGJG,,,
1,InstituTionId,,JGJG2,,,
1,InstituTionId,,JGJG3,,,
1,InstituTionId,,KFCS,,,
1,InstituTionId,,NACS,,,
1,InstituTionId,,NAJG,,,
1,InstituTionId,,NBCS,,,
1,InstituTionId,,NBJG,,,
1,InstituTionId,,NCCS,,,
1,InstituTionId,,OTCD,,,
1,InstituTionId,,POC_JG,,,
1,InstituTionId,,TOC,,,
1,ProductAcctNum,,325,,,
1,ProductAcctNum,,363,,,
1,ProductId,,227,,,
1,ProductId,,252,,,
1,ProductId,,26,,,
1,ProductId,,279,,,
1,riskProductCtrl,,2,,,
1,riskStkGroupCrtl,Y,a,0,豆一,
1,totalFlag,,0,,,
1,tradeCheckType,,CBUY,,,
1,tradeCheckType,,CSELL,,,
1,tradeCheckType,,SBUY,,,
1,tradeCheckType,,SSELL,,,
2,bsControl,,0,,,
2,ExchIdList,,-1,,,
2,InstituTionId,,JGJG,,,
2,InstituTionId,,QQZQ,,,
2,OrderQtySumFlag,,2,,,
2,ProductId,,7,,,
2,riskProductCtrl,,1,,,
2,riskStkGroupCrtl,Y,A0,0,股票,
2,StockSTType,,-1,,,
2,totalFlag,,0,,,
2,tradeCheckType,,SBUY,,,
2,tradeCheckType,,SSELL,,,
3,bsControl,,0,,,
3,ExchIdList,,-1,,,
3,InstituTionId,,QQZQ,,,
3,InstituTionId,,ylcs01,,,
3,OrderQtySumFlag,,1,,,
3,ProductId,,48,,,
3,ProductId,,7,,,
3,riskProductCtrl,,1,,,
3,riskStkGroupCrtl,Y,A0,0,股票,
