ThirdSystemId,ThirdSystemName,Memo,ChangeTradeUnitFlag,ProcessTime,FutMultiAttributRegFlag,NextInternalAcctId,PrevTradeDate,TradeDate,ReckoningFlag,DataStatisticsFlag,NextReckoningDate,ReckoningIntervalDays,OrderSeqnPrefix,CloseTimeConfig,OpenTimeConfig,IsTradeCalcuInterestFlag,CreditDetailReturnFlag,CreditStkAcctFlag,OptionAssureAcctAttribute,SupportAttributeList,TradeControlTime,publicParaValue,NextDayOrderControlTime,BatchOrderPackNum,IsReckoningCalcuInterestFlag,NightTradeBeginTime,NightTradeEndTime,ThirdSysInterface,RightsType,SuportFIX,ThirdReckoningType,ReturnCreditCashType,CreditOrderReturnFlag,AppID,AuthCode,CollectId,NoOrderFlag,ArbRedPrivilegeSet
1404,1404测试,,1,0200,0,,20221013,20221014,0,0,20221014,1,,18:00,08:30,0,0,0,S,S^F^C,1530,FundRedemption=0^HKStkValue=0^HKCostPriceCurrency=0^HKPnlCurrency=0^IsTradeCreditShareFeeFlag=0^PledgeReturnFlag=0^RealtimePNLFlag=1^FutureArbiFlag=1^CrossMarketHKT2CashUsedflag=Y^DebtAutoPaidFlag=Y^MultiContractPayFlag=Y^ReturnCashFlag=Y^ReckoningRequestTimeOut=10^CreditAssureTransInFlag=0^CreditAssureTransOutFlag=0^IsBuyfrozenAssureTransTrans=0^isAddUndueRepurchaseToStkValue=N^HKCostPriceSyncFlag=0,,50,0,,,2101,0,N,0,0,0,,,,0,1000005^0000002
2101,直报挡板-东方成交流水,,1,0200,0,0.0,20221013,20221014,0,0,20221014,1,,18:00,08:30,0,0,0,S,S^F^C,1530,FundRedemption=0^HKStkValue=0^HKCostPriceCurrency=0^HKPnlCurrency=0^IsTradeCreditShareFeeFlag=0^PledgeReturnFlag=0^RealtimePNLFlag=1^FutureArbiFlag=1^CrossMarketHKT2CashUsedflag=Y^DebtAutoPaidFlag=Y^MultiContractPayFlag=Y^ReturnCashFlag=Y^ReckoningRequestTimeOut=10^CreditAssureTransInFlag=0^CreditAssureTransOutFlag=0^IsBuyfrozenAssureTransTrans=0^isAddUndueRepurchaseToStkValue=N^HKCostPriceSyncFlag=0,,50,0,,,2101,0,N,0,0,0,,,,0,1000005
22,SE,,0,0200,0,0.0,20221013,20221014,0,0,20221014,1,,18:00,08:30,0,0,0,S,S^F^C,1530,FundRedemption=0^HKStkValue=0^HKCostPriceCurrency=0^HKPnlCurrency=0^IsTradeCreditShareFeeFlag=0^PledgeReturnFlag=0^RealtimePNLFlag=1^FutureArbiFlag=1^CrossMarketHKT2CashUsedflag=Y^DebtAutoPaidFlag=Y^MultiContractPayFlag=Y^ReturnCashFlag=Y^ReckoningRequestTimeOut=10^CreditAssureTransInFlag=0^CreditAssureTransOutFlag=0^IsBuyfrozenAssureTransTrans=0^isAddUndueRepurchaseToStkValue=N^HKCostPriceSyncFlag=0,,50,0,,,1201,0,N,9,0,0,,,,0,
2201,CTP,,1,0200,0,0.0,20221013,20221014,0,0,20221014,1,,07:00,06:30,0,0,0,S,F,1530,FundRedemption=1^HKStkValue=1^HKCostPriceCurrency=1^HKPnlCurrency=1^IsTradeCreditShareFeeFlag=1^PledgeReturnFlag=1^RealtimePNLFlag=0^FutureArbiFlag=0^CrossMarketHKT2CashUsedflag=N^DebtAutoPaidFlag=N^MultiContractPayFlag=N^ReturnCashFlag=N^ReckoningRequestTimeOut=10^CreditAssureTransInFlag=1^CreditAssureTransOutFlag=0^IsBuyfrozenAssureTransTrans=1^isAddUndueRepurchaseToStkValue=Y^HKCostPriceSyncFlag=1,,50,1,,,2201,0,N,0,0,0,,,CTP,0,1000005
2202,CTP_仿真,,1,0200,0,0.0,20221013,20221014,0,0,20221014,1,,22:00,08:30,0,0,0,S,F,1530,FundRedemption=1^HKStkValue=1^HKCostPriceCurrency=1^HKPnlCurrency=1^IsTradeCreditShareFeeFlag=1^PledgeReturnFlag=1^RealtimePNLFlag=0^FutureArbiFlag=0^CrossMarketHKT2CashUsedflag=N^DebtAutoPaidFlag=N^MultiContractPayFlag=N^ReturnCashFlag=N^ReckoningRequestTimeOut=10^CreditAssureTransInFlag=1^CreditAssureTransOutFlag=0^IsBuyfrozenAssureTransTrans=1^isAddUndueRepurchaseToStkValue=Y^HKCostPriceSyncFlag=1,,50,0,,,2202,0,N,0,0,0,,,CTP,0,
2203,对接1.94,,1,0200,0,0.0,20221013,20221014,0,0,20221014,1,,21:00,08:30,0,0,0,S,S^F^C,1530,FundRedemption=0^HKStkValue=0^HKCostPriceCurrency=0^HKPnlCurrency=0^IsTradeCreditShareFeeFlag=0^PledgeReturnFlag=0^RealtimePNLFlag=1^FutureArbiFlag=1^CrossMarketHKT2CashUsedflag=Y^DebtAutoPaidFlag=Y^MultiContractPayFlag=Y^ReturnCashFlag=Y^ReckoningRequestTimeOut=10^CreditAssureTransInFlag=0^CreditAssureTransOutFlag=0^IsBuyfrozenAssureTransTrans=0^isAddUndueRepurchaseToStkValue=N^HKCostPriceSyncFlag=0,,50,0,,,2203,0,N,1,0,0,,,CTP,0,
2300,极速4.0直报,,1,0200,0,0.0,20221013,20221014,0,0,20221014,1,,18:00,08:30,0,0,0,S,S^F^C,1530,FundRedemption=0^HKStkValue=0^HKCostPriceCurrency=0^HKPnlCurrency=0^IsTradeCreditShareFeeFlag=0^PledgeReturnFlag=0^RealtimePNLFlag=1^FutureArbiFlag=1^CrossMarketHKT2CashUsedflag=Y^DebtAutoPaidFlag=Y^MultiContractPayFlag=Y^ReturnCashFlag=Y^ReckoningRequestTimeOut=10^CreditAssureTransInFlag=0^CreditAssureTransOutFlag=0^IsBuyfrozenAssureTransTrans=0^isAddUndueRepurchaseToStkValue=N^HKCostPriceSyncFlag=0,,50,0,,,2101,0,N,4,0,0,,,,0,
2301,根网直报,,1,0200,0,0.0,20221013,20221014,0,0,20221014,1,,18:00,08:30,0,0,0,S,S^F^C,1530,FundRedemption=0^HKStkValue=0^HKCostPriceCurrency=0^HKPnlCurrency=0^IsTradeCreditShareFeeFlag=0^PledgeReturnFlag=0^RealtimePNLFlag=1^FutureArbiFlag=1^CrossMarketHKT2CashUsedflag=Y^DebtAutoPaidFlag=Y^MultiContractPayFlag=Y^ReturnCashFlag=Y^ReckoningRequestTimeOut=10^CreditAssureTransInFlag=0^CreditAssureTransOutFlag=0^IsBuyfrozenAssureTransTrans=0^isAddUndueRepurchaseToStkValue=N^HKCostPriceSyncFlag=0,,50,0,,,2101,0,N,2,0,0,,,,0,
2302,对接cts,,1,0200,0,0.0,20221013,20221014,0,0,20221014,1,,21:00,08:30,0,0,0,S,S^F^C,1530,FundRedemption=0^HKStkValue=0^HKCostPriceCurrency=0^HKPnlCurrency=0^IsTradeCreditShareFeeFlag=0^PledgeReturnFlag=0^RealtimePNLFlag=1^FutureArbiFlag=1^CrossMarketHKT2CashUsedflag=Y^DebtAutoPaidFlag=Y^MultiContractPayFlag=Y^ReturnCashFlag=Y^ReckoningRequestTimeOut=10^CreditAssureTransInFlag=0^CreditAssureTransOutFlag=0^IsBuyfrozenAssureTransTrans=0^isAddUndueRepurchaseToStkValue=N^HKCostPriceSyncFlag=0,,50,0,,,2302,0,N,1,0,0,,,CTP,0,
2303,根网直报2,,1,0200,0,0.0,20221013,20221014,0,0,20221014,1,,18:00,08:30,0,0,0,S,S^F^C,1530,FundRedemption=0^HKStkValue=0^HKCostPriceCurrency=0^HKPnlCurrency=0^IsTradeCreditShareFeeFlag=0^PledgeReturnFlag=0^RealtimePNLFlag=1^FutureArbiFlag=1^CrossMarketHKT2CashUsedflag=Y^DebtAutoPaidFlag=Y^MultiContractPayFlag=Y^ReturnCashFlag=Y^ReckoningRequestTimeOut=10^CreditAssureTransInFlag=0^CreditAssureTransOutFlag=0^IsBuyfrozenAssureTransTrans=0^isAddUndueRepurchaseToStkValue=N^HKCostPriceSyncFlag=0,,50,0,,,2101,0,N,2,0,0,,,,0,
